L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35
0.0,0.811065866422004,0.06182929475584973,0.0,0.0,0.0,-0.2692814284231208,0.44094448808416176,0.22627116731443206,0.07955230226421073,0.0,0.0,0.0,0.0,0.6832308586416772,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8626007388838096,0.014637995317795215,0.0,0.0,0.0,-0.2981196695651664,0.47490612698116547,0.2957870057816793,0.057746854505755583,0.0,0.0,0.029501719436578117,0.0,0.7220692066180847,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8937914757774397,0.028171763548472277,0.0,0.0,0.0,-0.3224622171865663,0.48489318407186216,0.33098287017363226,0.1443023759294434,0.0,0.0,0.0,0.0,0.5580441897272326,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9126576836165325,0.01955981969077536,0.0,0.0,0.0,-0.2947745611202749,0.5085260979284109,0.3776352556983725,0.14385330278798056,0.0,0.0,0.0,0.0,0.5860731871458709,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8495293110506195,0.08216276816699666,0.0,0.0,0.0,-0.2984324909698288,0.5360333704183897,0.2844239154772878,0.04604218660788098,0.0,0.0,0.07588497699422542,0.0,0.7165493448490877,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.792595669462624,0.010591329403079313,0.0,0.0,0.0,-0.3209217900972145,0.5646988710362261,0.39268948817304034,0.10580641519113837,0.0,0.0,0.10030270898997921,0.0,0.5983383973012801,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8701344332223558,0.04399233567758811,0.0,0.0,0.0,-0.33948609369606336,0.41500380850272006,0.30256101320464013,0.06926559316261507,0.0,0.0,0.0,0.0,0.6808152052287706,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8158295092635235,0.08715406249230266,0.0,0.0,0.0,-0.36457804506026326,0.4995378324576724,0.23454407139792954,0.15198131576895402,0.0,0.0,0.0,0.0,0.7340106974048213,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8657307984748548,0.06522439103785099,0.0,0.0,0.0,-0.33616084367916976,0.43190172164732,0.29464960341045215,0.11590989422207265,0.0,0.0,0.0,0.0,0.6236682193505659,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9140009525777201,0.0,0.0,0.0,0.0,-0.281674006256602,0.5550415735310781,0.3584087128148888,0.06417203146344913,0.0,0.0,0.0,0.0,0.6936950309817586,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.923126572918384,0.12176446265644085,0.0,0.0,0.0,-0.32673085097013443,0.47224000654183795,0.3297167780057874,0.0010074038903306855,0.0,0.0,0.0,0.0,0.6627010570457932,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8254741073539019,0.004978757596668773,0.0,0.0,0.0,-0.3100755038209719,0.5155452082102188,0.3240897065577451,0.161017658546903,0.0,0.0,0.0,0.0,0.6764859588620082,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8246019352715158,0.0,0.0,0.0,0.0,-0.2990790260115034,0.4679238590484829,0.3791956889943209,0.14831905903811524,0.0,0.0,0.012547479829117266,0.0,0.6129840275411481,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.838745592850897,0.006046524283658528,0.0,0.0,0.0,-0.31772917911530746,0.5156406331704159,0.34611421558516514,0.10290597529937186,0.0,0.0,0.018774357931792014,0.0,0.6169995064108373,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9641455315426228,0.06954001379298766,0.0,0.0,0.0,-0.3110188659464728,0.44368092981576174,0.28904676025454273,0.0573247651064117,0.0,0.0,0.0,0.0,0.6383559049177885,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8309943373759867,0.021999567592243793,0.0,0.0,0.0,-0.3253134656665606,0.47103653390217565,0.23455049904863956,0.12534499271012498,0.0,0.0,0.00539345656549491,0.0,0.6531862193929294,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8125361601647704,0.08894713815297593,0.0,0.0,0.0,-0.2610438982158486,0.5179592972812127,0.2799608860816933,0.03332998203329704,0.0,0.0,0.10333312646698457,0.0,0.5918535003131459,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8475302842907725,0.06690703141404905,0.0,0.0,0.0,-0.3213755466901555,0.45995424665815615,0.2141631140920049,0.047938159703991456,0.0,0.0,0.0,0.0,0.7034744640575598,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.942389832687348,0.0,0.0,0.0,0.0,-0.32573427026242885,0.41592285005333884,0.2842246719461828,0.029837932361157518,0.0,0.0,0.0,0.0,0.6378489518147192,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8137932200007606,0.035655079094263256,0.0,0.0,0.0,-0.347821153281899,0.5459870123321864,0.34567700283187813,0.04058658095085307,0.0,0.0,0.1421636369683756,0.0,0.5962937616151947,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8896478456831207,0.05953536929210936,0.0,0.0,0.0,-0.42486040831674654,0.5494379074600143,0.325619222094592,0.1126403361818878,0.0,0.0,0.0,0.0,0.6225293427513556,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9531426915608844,0.1156645607914303,0.0,0.0,0.0,-0.36080623730002165,0.4987119656881333,0.3077795331580086,0.03731313446440139,0.0,0.0,0.0,0.0,0.7125710198646535,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9655963229983459,0.01798840002966176,0.0,0.0,0.0,-0.3236905723123976,0.44850092283331877,0.3667601468115018,0.07254350526036064,0.0,0.0,0.007516347602092063,0.0,0.6557535453724884,0.0,0.0,0.0,0.0,0.0,0.0
