L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11903660103765917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.027877816187096727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.015111017107396376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2712917357023282,0.0,0.0,0.0
0.0,0.0,-0.17579795016061214,0.0,0.0,0.0,0.0,0.016322262178234556,0.0,0.0,0.0,0.0,0.0,0.1917246258231499,0.0,0.0,0.0
0.0,0.0,-0.06043250750058289,0.0,0.0,0.0,0.0,0.18110055213548484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.18624957657927993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00988870344346514,0.0
0.0,0.0,-0.020429690871094204,0.0,0.0,0.0,0.0,0.12266063179635772,0.0,0.0,0.0,0.0,0.0,0.13989456542104364,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11426418100340104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.23447188812931022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1181153305105438,0.0,0.0,0.0
0.0,0.0,-0.22518595504007655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19440458872918298,0.0,0.0,0.0
0.0,0.0,-0.11408866655017685,-0.009528796692271026,0.0,0.0,0.0,0.09151132233552876,0.0,0.0,0.0,0.0,0.0,0.011251097005165727,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.014303209114658063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
