L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35
0.22507552874000386,-0.23583402246990928,-0.5461286233450257,-0.39380514725945803,-0.6146023455182202,-0.5767157012554175,0.29856982756330147,0.14743641841664512,0.32070821227601004,-0.012655608890916704,0.0,0.05231668316207088,-0.09662742271539342,0.5470755809687173,0.1662816071754636,-0.5465506594281667,-0.021962055782657378,0.17190104957433847,0.05190396858621008,-0.22680143381370715
0.2964333290870763,-0.22055671260082121,-0.5344988922470874,-0.3419723816018426,-0.5898444677489914,-0.5002635074084528,0.31258858741003265,0.19687765628918272,0.30662122624057914,0.0,0.0,0.07226385016176926,-0.1844879723598592,0.5045916910268928,0.14161664747884306,-0.5194679710203125,-0.03825135184206305,0.1083533090142576,0.008045118101105019,-0.22267816858583833
0.3000883144749255,-0.21200269769564523,-0.5365015652861211,-0.4057845730301534,-0.6290968534704388,-0.618171947769113,0.2939296903802828,0.12323540582451542,0.29132441927022423,0.0,-0.0006564760325484705,0.037206674264204986,-0.20321117264378563,0.49893287119938573,0.1998830305199897,-0.4912292818742296,-0.008862019087712123,0.089989989882796,0.011434710163290032,-0.23914126551558146
0.24789912208804518,-0.18632551015577695,-0.49183096210192306,-0.3272605755152155,-0.6297536466764092,-0.5469025694725225,0.31865964661443563,0.11848309292443764,0.34342293605160445,-0.06662768033911178,0.026339940418981914,0.06154375462528757,-0.13368538219804757,0.47845836549242826,0.14130347595699785,-0.445369784957238,-0.06423927107067359,0.1292018015679513,0.01705656891334016,-0.17721292170761818
0.2486947353512237,-0.21971025801055305,-0.5228415566914509,-0.39698463219831787,-0.661720220677558,-0.5754414530421041,0.2965351344318929,0.1579132853703891,0.2806779090572299,0.0,0.0,0.07955091900127187,-0.11848157186541848,0.5495266386600011,0.18210136431494453,-0.5294028316762562,0.0,0.11653398410631477,0.10304112665129916,-0.22684918393918208
0.21451437369975276,-0.18690423904831888,-0.44816030432976917,-0.3706579401950656,-0.6303710044700179,-0.5789429000357093,0.3040481449974441,0.1411658713572283,0.2721672098328811,-0.048872194594818924,0.0,0.06383362914099715,-0.09121886091226553,0.4624127625438122,0.17533118032038167,-0.5078242468208646,-0.031019950152008452,0.10314228668773051,0.027382420716762022,-0.21774434790954134
0.2856135058644982,-0.19379244149784852,-0.48871945977945974,-0.33969670078941544,-0.5703678117476909,-0.5493664501347636,0.29843482567536317,0.13048851111242415,0.2853250339071405,-0.03082208993833025,-0.010640261058342747,0.05973415452898067,-0.16102278089138533,0.4855003955827769,0.15435069882614177,-0.47835307319711456,-0.0363839321846945,0.13185437681291057,0.0021146088765289805,-0.23726300269033895
0.27756081928980814,-0.1871886005296838,-0.48499602101405626,-0.3873536917956935,-0.7012514073873495,-0.5874430408514199,0.3261205690637886,0.10317971620548473,0.34474371564005135,-0.014906057619577598,0.0,0.08506775830030133,-0.1577522623276827,0.46984392443887585,0.23434096796906814,-0.4731995492741206,-0.018909308574328158,0.12490700815259685,0.00574687371440481,-0.25796726150847915
0.19106659646477916,-0.2645373752126243,-0.5212824280223721,-0.373049579002754,-0.6100974728589791,-0.5590638381997183,0.28033003959674385,0.11931860049898561,0.2946222705410622,-0.02140206578375905,0.0,0.05945312676905184,-0.0974938731620071,0.5060511232045991,0.18186908817872094,-0.514500022990446,-0.01680392543118408,0.17817543657006116,0.0,-0.205860334330107
0.26777956873691955,-0.2432613133058199,-0.4997495721929504,-0.35785651743595703,-0.5901276583395691,-0.550846414054502,0.3838192518991416,0.2164784813133221,0.301349474462506,0.0,0.0,0.055980758787590644,-0.10592001114948531,0.4842592341951424,0.17572350714459642,-0.5013112380838775,-0.006169446996760679,0.14246620591733045,0.0,-0.24467394417592606
0.2498289221241582,-0.20317110679280104,-0.46336826688732446,-0.3906180428362741,-0.6313803840806519,-0.49843508511645673,0.3344535925973639,0.18402821607154057,0.30841600877218395,-0.06519208059071314,0.0,0.044231074375446724,-0.11582594364388828,0.5171002850775376,0.19492090951543564,-0.4780050311871911,-0.024304453704705426,0.07965592913221144,0.007168823755301765,-0.22329952008991283
